-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  18.5207   Longitude 73.8656 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 611.92 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
18.52071,73.86561,T2M_MAX,1981,   28.31,   33.69,   35.61,   38.87,   36.09,   30.10,   26.74,   26.11,   26.46,   27.47,   26.31,   26.41,   30.15
18.52071,73.86561,T2M_MAX,1982,   28.28,   31.71,   35.21,   36.94,   35.85,   31.04,   27.39,   26.00,   26.99,   28.54,   27.21,   28.10,   30.26
18.52071,73.86561,T2M_MAX,1983,   29.29,   30.58,   35.29,   37.14,   38.12,   32.06,   28.04,   26.33,   25.97,   26.56,   26.04,   27.00,   30.20
18.52071,73.86561,T2M_MAX,1984,   28.51,   30.82,   37.08,   38.21,   38.05,   30.33,   26.46,   26.07,   27.17,   27.96,   28.10,   29.43,   30.68
18.52071,73.86561,T2M_MAX,1985,   30.22,   33.89,   37.87,   37.83,   36.43,   29.59,   26.92,   26.16,   27.06,   28.00,   27.89,   28.76,   30.86
18.52071,73.86561,T2M_MAX,1986,   29.69,   31.64,   36.65,   39.02,   36.93,   28.98,   27.23,   26.27,   27.92,   30.82,   30.80,   29.71,   31.30
18.52071,73.86561,T2M_MAX,1987,   30.88,   33.01,   36.22,   38.60,   34.46,   30.99,   27.66,   26.83,   28.71,   28.97,   29.07,   28.36,   31.12
18.52071,73.86561,T2M_MAX,1988,   30.93,   33.72,   35.98,   37.80,   37.75,   31.39,   27.00,   26.58,   27.25,   27.17,   26.58,   27.09,   30.75
18.52071,73.86561,T2M_MAX,1989,   30.47,   33.90,   35.61,   38.40,   37.39,   28.63,   26.92,   25.81,   26.95,   29.08,   28.66,   27.44,   30.75
18.52071,73.86561,T2M_MAX,1990,   31.80,   32.29,   34.42,   38.97,   35.08,   28.70,   26.67,   25.74,   26.14,   27.36,   27.04,   26.73,   30.06
18.52071,73.86561,T2M_MAX,1991,   28.97,   32.39,   36.99,   38.27,   38.41,   29.95,   25.95,   25.87,   27.16,   29.38,   28.81,   28.55,   30.88
18.52071,73.86561,T2M_MAX,1992,   30.96,   31.91,   37.51,   38.85,   38.32,   33.49,   28.40,   26.27,   26.83,   27.96,   28.59,   28.34,   31.44
18.52071,73.86561,T2M_MAX,1993,   31.24,   33.03,   35.07,   38.58,   37.88,   31.51,   27.20,   26.64,   26.56,   27.92,   26.53,   26.12,   30.67
18.52071,73.86561,T2M_MAX,1994,   27.98,   30.63,   38.06,   36.86,   37.33,   28.67,   25.72,   25.68,   26.32,   27.76,   27.58,   27.36,   29.99
18.52071,73.86561,T2M_MAX,1995,   27.98,   32.53,   36.01,   38.02,   36.30,   32.90,   27.90,   27.47,   27.08,   28.64,   27.73,   28.34,   30.89
18.52071,73.86561,T2M_MAX,1996,   29.91,   32.91,   37.39,   38.17,   37.59,   31.07,   26.96,   26.03,   26.82,   27.07,   26.95,   27.05,   30.65
18.52071,73.86561,T2M_MAX,1997,   27.79,   31.74,   36.57,   35.80,   37.44,   29.27,   27.10,   26.33,   26.81,   29.36,   28.24,   26.41,   30.23
18.52071,73.86561,T2M_MAX,1998,   28.07,   30.57,   35.89,   39.20,   39.29,   31.84,   27.36,   27.30,   26.72,   27.22,   26.32,   25.53,   30.44
18.52071,73.86561,T2M_MAX,1999,   27.09,   32.40,   37.52,   39.73,   34.38,   29.30,   26.90,   26.79,   26.78,   28.11,   28.10,   27.89,   30.39
18.52071,73.86561,T2M_MAX,2000,   30.34,   31.05,   35.78,   39.61,   34.23,   28.91,   26.75,   26.89,   28.27,   30.13,   29.86,   30.76,   31.04
18.52071,73.86561,T2M_MAX,2001,   31.06,   34.57,   35.39,   38.96,   36.44,   29.03,   27.14,   26.04,   28.25,   28.12,   28.39,   28.62,   30.97
18.52071,73.86561,T2M_MAX,2002,   28.09,   33.09,   36.92,   39.59,   37.39,   30.26,   28.43,   26.52,   27.73,   30.90,   31.11,   31.27,   31.76
18.52071,73.86561,T2M_MAX,2003,   31.51,   34.31,   37.26,   39.21,   38.61,   30.62,   27.35,   26.72,   27.13,   29.57,   29.87,   29.56,   31.79
18.52071,73.86561,T2M_MAX,2004,   29.97,   34.02,   38.60,   38.34,   34.79,   29.24,   27.40,   25.69,   27.40,   27.36,   27.72,   28.07,   30.70
18.52071,73.86561,T2M_MAX,2005,   29.26,   32.63,   36.18,   37.02,   36.97,   31.16,   26.29,   26.30,   26.34,   27.31,   26.42,   26.53,   30.18
18.52071,73.86561,T2M_MAX,2006,   29.16,   34.24,   34.99,   38.19,   36.43,   29.86,   25.86,   25.19,   27.21,   28.25,   26.60,   27.05,   30.22
18.52071,73.86561,T2M_MAX,2007,   29.34,   31.26,   36.53,   39.29,   37.43,   30.50,   27.04,   26.23,   26.84,   28.04,   27.83,   28.07,   30.69
