-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  21.1558   Longitude 79.0829 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 340.68 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
21.15581,79.08291,T2M_MAX,1981,   26.94,   34.11,   35.35,   42.88,   42.69,   39.97,   30.05,   29.08,   29.35,   29.00,   26.72,   26.13,   32.65
21.15581,79.08291,T2M_MAX,1982,   27.38,   29.65,   35.55,   40.65,   41.37,   38.27,   32.42,   28.35,   30.07,   29.66,   29.31,   30.62,   32.78
21.15581,79.08291,T2M_MAX,1983,   30.60,   31.93,   38.75,   41.66,   44.16,   39.39,   32.28,   29.64,   28.90,   28.16,   25.98,   26.69,   33.18
21.15581,79.08291,T2M_MAX,1984,   27.77,   30.63,   38.69,   42.21,   46.13,   37.66,   31.91,   29.13,   30.92,   32.67,   31.89,   31.90,   34.30
21.15581,79.08291,T2M_MAX,1985,   30.31,   34.37,   40.24,   42.31,   44.63,   38.92,   31.36,   29.24,   30.01,   28.20,   27.47,   28.70,   33.80
21.15581,79.08291,T2M_MAX,1986,   28.68,   30.05,   37.53,   43.26,   44.05,   37.65,   30.72,   29.20,   30.75,   31.94,   31.58,   29.54,   33.75
21.15581,79.08291,T2M_MAX,1987,   28.16,   32.95,   36.76,   42.61,   40.81,   39.84,   31.41,   30.70,   31.19,   30.37,   29.91,   28.77,   33.60
21.15581,79.08291,T2M_MAX,1988,   31.79,   35.11,   38.89,   41.93,   45.85,   38.84,   30.61,   30.01,   30.04,   29.42,   28.66,   29.62,   34.22
21.15581,79.08291,T2M_MAX,1989,   30.90,   35.10,   36.40,   41.85,   45.01,   36.99,   31.18,   30.44,   31.13,   33.92,   33.34,   28.49,   34.55
21.15581,79.08291,T2M_MAX,1990,   31.13,   33.32,   36.62,   42.48,   39.60,   34.47,   29.58,   29.94,   29.13,   28.54,   27.49,   27.34,   32.45
21.15581,79.08291,T2M_MAX,1991,   29.46,   35.24,   39.64,   41.82,   45.69,   36.26,   31.54,   28.65,   30.96,   32.63,   30.70,   29.73,   34.35
21.15581,79.08291,T2M_MAX,1992,   30.71,   33.25,   39.69,   42.52,   44.04,   40.88,   33.46,   28.98,   29.42,   29.88,   30.08,   29.67,   34.37
21.15581,79.08291,T2M_MAX,1993,   31.87,   33.79,   34.99,   42.14,   44.53,   38.26,   31.09,   29.60,   29.06,   29.33,   27.41,   26.89,   33.23
21.15581,79.08291,T2M_MAX,1994,   29.36,   31.50,   40.16,   40.59,   44.55,   35.78,   29.11,   28.26,   28.91,   28.90,   28.40,   28.17,   32.81
21.15581,79.08291,T2M_MAX,1995,   26.90,   33.01,   35.85,   41.11,   42.32,   39.69,   31.17,   29.78,   30.15,   29.02,   29.12,   29.74,   33.14
